"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.0002","0.0002","0.0003","0.0003","0.0003","0.0004","0.0005","0.0005","0.0006","0.0006","0.0008","0.001","0.0008","0.0011","0.0012","0.0014","0.0024","0.0024","0.0023","0.004","0.0094","0.0097","0.0087","0.008","0.0087","0.0101","0.0065","0.0096","0.0097","0.0104","0.0067","0.0078","0.0185","0.018","0.017","0.0154","0.0146","0.014","0.011","0.0136","0.0148","0.0101","0.0181","0.02","0.0222","0.0242","0.0217","0.0333","0.0281","0.0267","0.0287","0.0346","0.0366","0.0366","0.038","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","54.7746","54.7746","56.2488","64.4146","63.8165","65.7097","73.8206","75.3062","73.7461","77.1542","81.5506","84.434","74.8487","65.2059","64.9935","67.3044","66.2889","68.4967","70.3655","66.7488","68.4353","62.584","56.0812","48.0937","47.8069","48.8401","53.0111","56.8511","59.4508","53.4894","53.281","49.4664","52.8976","54.7271","61.7815","66.5946","64.6942","59.206","59.4744","76.5449","69.1253","63.7425","64.4298","68.7356","73.2454","70.5538","71.5881","67.8563","77.6813","76.4884","71.94","73.3346","73.9143","77.7505","78.5775","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.1016","0.1016","0.0947","0.0962","0.1057","0.1116","0.116","0.1496","0.159","0.1799","0.1831","0.2668","0.2275","0.2422","0.2613","0.4241","0.4353","0.4613","0.387","0.3452","0.7439","0.7032","0.419","0.3897","0.4314","0.3583","0.3274","0.3037","0.2891","0.2841","0.244","0.184","0.279","0.2148","0.1676","0.2442","0.2679","0.6351","1.0198","1.4617","1.7988","3.5125","2.7076","2.6533","2.7442","2.1674","2.1014","2.8349","2.6791","2.8111","2.7561","3.5105","3.2254","3.4635","3.5263","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","4.2029","4.2029","4.5856","4.9787","5.3569","5.7594","6.3099","5.9958","6.9582","6.8907","6.9897","7.6953","7.8882","7.9049","6.5962","7.1926","6.089","6.6891","7.2851","6.9442","5.6315","5.6805","6.4821","6.1708","5.8616","5.697","6.4803","6.1206","6.1497","6.9241","7.2114","6.6849","6.6148","11.8853","12.7185","11.8897","11.8629","13.0816","14.0791","11.4131","12.0044","17.8928","17.9244","16.8728","18.1181","18.4047","17.6229","15.8203","16.665","17.8348","18.2762","22.6614","22.5579","21.6229","21.7507","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","0.259","0.259","0.3176","0.3583","0.3269","0.3085","0.3076","0.3073","0.4535","0.4131","0.4253","0.4505","0.4256","0.4352","0.7044","0.8509","0.7561","0.8299","0.7928","0.8465","1.7652","1.6286","1.7129","2.1909","1.6278","1.7961","1.8853","1.7373","1.2987","1.4809","1.573","1.6165","1.7761","1.8317","2.1025","1.7157","1.9563","2.267","2.0929","2.1847","2.3378","2.4204","2.2159","1.6228","1.4598","2.2042","2.4791","1.3603","1.9317","1.5085","1.0612","1.3277","1.7308","1.6463","1.6693","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","1.3726","1.3726","1.7573","1.0119","1.0847","0.965","0.993","1.0634","1.3251","1.7495","2.6745","2.1749","2.1706","2.5436","2.614","2.5207","2.483","2.7297","2.4559","3.1048","2.1435","1.4156","0.7582","0.5427","0.4638","0.4922","0.4593","0.2408","0.4015","0.4854","0.4722","0.5362","0.4292","0.5035","0.551","0.4509","0.6797","0.6392","0.5007","0.7758","1.0394","1.1115","0.6444","0.5834","0.9151","0.6761","0.6065","1.0967","1.2787","0.9101","0.9816","1.2002","1.0451","0.9392","0.9233","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","27.1076","27.1076","29.5437","33.0323","37.7301","41.1406","45.2462","51.3458","58.3238","80.9519","93.5173","103.0079","109.4186","105.6872","84.2758","89.7721","92.646","99.7126","103.5353","113.5555","120.655","126.297","134.1983","135.4322","139.9622","148.1489","157.1949","154.7468","162.5974","169.3315","167.3324","183.8627","187.4286","185.1931","186.7678","204.0446","215.47","239.8546","255.1516","258.7229","287.4268","290.2846","290.5444","298.0566","306.5245","315.3601","307.8583","297.2742","284.0951","291.044","287.8784","294.0559","308.9965","322.5564","337.8913","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","1.9076","1.9076","1.6988","1.9314","1.6651","2.2588","2.7605","6.0016","6.546","7.1241","7.0151","9.1506","9.1283","7.1121","12.9869","16.2715","20.0887","22.9201","22.7092","28.3296","26.6398","33.346","29.5789","29.584","33.9518","36.0618","37.7153","39.9064","39.3589","38.6501","33.6754","41.6038","37.8159","35.9369","33.8928","34.9426","34.0929","42.4555","51.8655","59.9418","63.1461","66.2927","72.029","76.0593","72.597","81.2809","83.725","70.2965","53.6507","68.3633","73.4393","70.9984","69.9761","70.7604","75.2657","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e)","EN.GHG.CO2.IC.MT.CE.AR5","","","","","","","","","","","17.1945","17.1945","15.4046","16.5522","17.7028","16.3693","17.8529","15.7188","17.6191","17.5214","15.9814","14.6163","15.1116","15.3954","17.0442","14.8838","14.9269","17.7553","15.8391","14.7142","14.1054","14.6932","15.7091","15.015","17.5071","17.219","17.7419","20.8077","20.2476","18.2888","17.8694","17.6362","17.0822","19.0046","20.0149","20.4278","22.1229","21.0848","20.6705","17.5483","19.0421","20.7031","19.1857","21.1205","21.5135","21.7092","19.4805","18.9955","20.716","20.51","19.9692","17.1719","21.5828","22.2892","21.509","",
